T: 4.24902, {'yaw': 352.813, 'roll': -18.0625, 'pitch': -28.75}, {'ax': 7.45, 'ay': 4.41, 'az': -3.79}, {'my': -30.25, 'mz': 14.25, 'mx': -29.0625}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 1, 'fully_calibrated': False}
T: 4.31299, {'yaw': 318.438, 'roll': -2.4375, 'pitch': -31.0625}, {'ax': 7.78, 'ay': -1.89, 'az': -4.57}, {'my': -12.75, 'mz': 7.1875, 'mx': -41.375}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 5.40198, {'yaw': 89.6875, 'roll': 7.5625, 'pitch': -36.0625}, {'ax': 6.13, 'ay': -5.7, 'az': -3.99}, {'my': 1.0625, 'mz': 7.0, 'mx': -43.375}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 5.66394, {'yaw': 94.1875, 'roll': -0.875, 'pitch': -39.5625}, {'ax': 8.44, 'ay': -2.51, 'az': -4.04}, {'my': -1.5625, 'mz': 5.375, 'mx': -42.75}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 5.90894, {'yaw': 87.1875, 'roll': -2.625, 'pitch': -44.9375}, {'ax': 9.65, 'ay': -3.71, 'az': -0.95}, {'my': 2.0625, 'mz': -1.0, 'mx': -42.5}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 5.97095, {'yaw': 56.1875, 'roll': 8.25, 'pitch': -33.0}, {'ax': 5.95, 'ay': -8.57, 'az': -0.64}, {'my': 25.25, 'mz': -12.1875, 'mx': -38.6875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 6.38892, {'yaw': 58.125, 'roll': 8.6875, 'pitch': -30.125}, {'ax': 6.42, 'ay': -8.41, 'az': -2.26}, {'my': 24.0625, 'mz': -11.0, 'mx': -40.25}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 6.45398, {'yaw': 61.8125, 'roll': 10.4375, 'pitch': -8.5625}, {'ax': 6.68, 'ay': -5.46, 'az': -5.43}, {'my': 21.75, 'mz': 2.0625, 'mx': -39.5}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 6.91296, {'yaw': 59.9375, 'roll': 8.125, 'pitch': -4.5625}, {'ax': 3.75, 'ay': -7.03, 'az': -5.12}, {'my': 21.375, 'mz': 2.75, 'mx': -39.75}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 6.97498, {'yaw': 57.9375, 'roll': 0.75, 'pitch': 2.875}, {'ax': 5.61, 'ay': -5.05, 'az': -4.71}, {'my': 23.6875, 'mz': 0.5, 'mx': -38.75}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
